strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
508,5086,4717,23925,-47141,-23216,3677,14.12
513,5385,4775,31793,-46495,-14702,3545,19.79
518,4754,4167,33772,-39505,-5733,1976,26.86
523,5635,5281,46793,-48711,-1918,2827,35.31
528,7157,6586,68020,-59058,8962,5035,44.97
533,7663,7069,82025,-61575,20450,5347,55.47
538,7172,6737,85375,-56954,28421,3487,66.27
543,7523,6668,98581,-54659,43922,3268,76.69
548,9190,8254,131454,-65541,65913,6167,85.96
553,9905,9163,153567,-70407,83160,7111,93.33
558,9573,9202,159907,-68345,91562,5220,98.16
563,9397,8583,168244,-61545,106699,3599,99.99
568,10198,8846,172305,-65338,106967,6415,98.66
573,10043,9146,157635,-69901,87734,7265,94.29
578,8813,8620,127753,-68093,59660,5283,87.29
583,7049,7283,93724,-59401,34323,2426,78.27
588,7862,6284,95099,-52866,42233,4479,67.98
593,7905,6870,86133,-59559,26574,5613,57.19
598,6866,6771,66573,-60439,6134,4435,46.6
603,5015,5801,42607,-53269,-10662,1967,36.78
608,5497,4184,40106,-39495,611,2839,28.12
613,5726,4425,34906,-42905,-7999,3825,20.83
618,4888,4708,23932,-46858,-22926,3302,14.94
