strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
576,3042,4550,14529,-45402,-30873,1270,14.42
581,4741,4606,28332,-44779,-16447,2847,20.17
586,5894,4023,42295,-38078,4217,3757,27.33
591,6029,5092,50499,-46890,3609,3733,35.86
596,5346,6342,51193,-56772,-5579,2317,45.58
601,6561,6806,70701,-59179,11522,3739,56.11
606,7883,6487,94407,-54740,39667,5366,66.91
611,8211,6421,108188,-52535,55653,5159,77.29
616,7643,7941,109876,-62933,46943,3560,86.47
621,8360,8814,130215,-67590,62625,4335,93.7
626,9834,8850,164975,-65594,99381,6796,98.35
631,10360,8257,186231,-59080,127151,6808,100
636,8931,8453,150255,-62565,87690,4472,98.48
641,8128,8740,126992,-66933,60059,3767,93.94
646,8717,8235,125734,-65179,60555,5932,86.8
651,8422,6954,111373,-56825,54548,5760,77.68
656,7129,5996,85719,-50535,35184,3729,67.34
661,5829,6558,63093,-56955,6138,2390,56.54
666,6530,6463,62845,-57789,5056,4319,45.99
671,6428,5533,54149,-50894,3255,4537,36.23
676,5305,3983,38323,-37659,664,2866,27.65
681,3525,4214,21235,-40924,-19689,1253,20.43
686,4312,4486,20801,-44717,-23916,2740,14.63
