strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
575,3027,4536,14348,-45297,-30949,1265,14.27
580,4726,4592,28072,-44678,-16606,2838,19.98
585,5879,4009,41976,-37977,3999,3746,27.09
590,6014,5078,50157,-46800,3357,3723,35.59
595,5331,6328,50858,-56696,-5838,2311,45.27
600,6546,6792,70304,-59110,11194,3730,55.79
605,7867,6473,93932,-54672,39260,5355,66.59
610,8196,6407,107695,-52470,55225,5149,76.99
615,7628,7927,109386,-62884,46502,3553,86.22
620,8345,8799,129681,-67543,62138,4328,93.52
625,9819,8836,164370,-65559,98811,6785,98.26
630,10344,8243,185571,-59043,126528,6797,100
635,8946,8467,150830,-62604,88226,4480,98.57
640,8143,8754,127519,-66972,60547,3774,94.12
645,8732,8250,126265,-65234,61031,5943,87.04
650,8438,6968,111888,-56886,55002,5772,77.98
655,7144,6010,86157,-50607,35550,3738,67.66
660,5845,6572,63477,-57026,6451,2396,56.87
665,6545,6477,63225,-57864,5361,4328,46.3
670,6443,5548,54508,-50989,3519,4548,36.51
675,5320,3997,38623,-37760,863,2875,27.88
680,3540,4229,21452,-41038,-19586,1258,20.63
685,4328,4500,21034,-44822,-23788,2749,14.78
