strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
2.5,NVDA260717C00002500,,14,0,20,0,39.93750375976563,0,203.1,0,206.6,0,191.6,0,326,0,326,20,97.25
5,NVDA260717C00005000,,430,0,1,0,25.335939582519536,0,200.85,0,204.1,0,198.5,0,15152,0,15152,1,93.46
7.5,NVDA260717C00007500,,24,0,5,0,20.83594098876953,0,198.35,0,201.6,0,188.33,0,998,0,998,5,90.71
10,NVDA260717C00010000,,55,0,3,0,17.632816989746093,0,195.55,0,198.85,0,198.98,0,2609,0,2609,3,87.57
15,NVDA260717C00015000,NVDA260717P00015000,14,0,33,1,14.1875011328125,0.500005,189.9,0,193.95,0,182.11,0.01,880,0,880,34,48.34
17.5,,NVDA260717P00017500,0,1,0,0,0,6.2500021875,0,0,0,0.01,0,0.01,0,-58,-58,0,37.63
20,NVDA260717C00020000,NVDA260717P00020000,32,12,1,1,12.820314487304689,6.0000025,185.9,0,188.5,0.01,177.2,0.03,2135,-801,1334,2,65.73
25,NVDA260717C00025000,,14,0,1,0,10.890628193359376,0,179.55,0,184,0,185.22,0,913,0,913,1,74.33
30,NVDA260717C00030000,NVDA260717P00030000,1,1341,1,1,10.73828453857422,5.000003749999999,175.9,0,179.1,0.01,180.35,0.01,71,-95142,-95071,2,58.45
35,NVDA260717C00035000,NVDA260717P00035000,10,842,1,2,9.867191333007813,4.500004375,170.95,0,174.1,0.01,164.42,0.01,724,-60946,-60222,3,54.43
40,NVDA260717C00040000,NVDA260717P00040000,4,4398,1,587,9.109379306640626,4.2500046875,165.95,0,169.1,0.01,158.95,0.01,295,-324198,-323903,588,51.55
45,NVDA260717C00045000,NVDA260717P00045000,1,1861,0,1,8.246098596191406,3.8750003125,160.55,0,164,0.01,147.72,0.01,74,-137590,-137516,1,46.91
50,NVDA260717C00050000,NVDA260717P00050000,107,15155,4,5,7.373047658691406,3.6250009375000003,155.45,0,158.35,0.01,146.12,0.01,7842,-1110695,-1102853,9,42.19
55,NVDA260717C00055000,NVDA260717P00055000,44,2260,15,12,7.113282358398438,3.3750015624999996,150.55,0,153.8,0.01,154.73,0.01,3295,-169267,-165972,27,41.12
60,NVDA260717C00060000,NVDA260717P00060000,24,1120,1,5,6.7382828271484385,3.1250021875,145.55,0,149,0.01,137.95,0.01,1818,-84817,-82999,6,39.1
65,NVDA260717C00065000,NVDA260717P00065000,75,6737,1,1,6.327150528564454,3.0000025,140.55,0,144,0.01,131.7,0.01,5771,-518377,-512606,2,37.56
70,NVDA260717C00070000,NVDA260717P00070000,14,1841,1,136,5.996096254882813,2.750003125,135.6,0,139.1,0.01,134.15,0.01,1086,-142784,-141698,137,35.51
75,NVDA260717C00075000,NVDA260717P00075000,41,2104,1,4,5.772463721923829,2.6250034375,131,0,134.15,0.01,123.7,0.03,3291,-168906,-165615,5,35.29
80,NVDA260717C00080000,NVDA260717P00080000,34,3304,2,1,5.276370592041015,2.43750390625,125.55,0,129,0.01,126.1,0.01,2689,-261325,-258636,3,31.94
85,NVDA260717C00085000,NVDA260717P00085000,72,1907,3,45,4.423832595214843,2.3125042187499996,120.25,0,122.5,0.01,117.82,0.01,5139,-136121,-130982,48,25.17
90,NVDA260717C00090000,NVDA260717P00090000,74,2924,4,209,4.6738322827148435,2.1250046874999997,116,0,118.5,0.01,111.7,0.01,5994,-236831,-230837,213,28.82
95,NVDA260717C00095000,NVDA260717P00095000,114,15242,11,816,4.428715401611328,2.000005,110.55,0,114.05,0.01,113.63,0.01,9484,-1268078,-1258594,827,28
100,NVDA260717C00100000,NVDA260717P00100000,3651,16219,1,5,3.6289071777343755,1.875000625,105.65,0,106.9,0.01,107.53,0.06,260297,-1156330,-896033,6,20.54
105,NVDA260717C00105000,NVDA260717P00105000,60,21820,1,1,4.043950257568358,1.75000125,101,0,104.15,0.01,104.55,0.01,5415,-1969226,-1963811,2,27.37
110,NVDA260717C00110000,NVDA260717P00110000,3233,6892,11,2,3.4765638085937502,1.65625171875,95.8,0,97.8,0.01,97.22,0.01,271122,-577970,-306848,13,22.53
115,NVDA260717C00115000,NVDA260717P00115000,254,9767,1,3254,3.340821960449218,1.5625021874999998,90.35,0,93.6,0.01,94.3,0.01,22847,-878528,-855681,3255,23.09
120,NVDA260717C00120000,NVDA260717P00120000,305,8305,2,5,3.3056657983398434,1.4375028125,85.8,0,89.05,0.01,87.93,0.01,30365,-826813,-796448,7,24.72
125,NVDA260717C00125000,NVDA260717P00125000,1050,18129,5,11,3.097658505859375,1.3125034374999998,80.8,0,84.05,0.01,84.77,0.01,108585,-1874798,-1766213,16,23.87
130,NVDA260717C00130000,NVDA260717P00130000,388,17057,31,8,2.7959014477539066,1.2500037499999999,75.9,0,78.35,0.01,76.92,0.02,41032,-1803836,-1762804,39,22.4
135,NVDA260717C00135000,NVDA260717P00135000,384,7213,122,314,2.5380895922851563,1.2500037499999999,70.7,0.01,73.15,0.02,72.65,0.02,43763,-822036,-778273,436,22.6
140,NVDA260717C00140000,NVDA260717P00140000,1277,25507,56,7,2.383793103027343,1.1484417578125,66.05,0.01,67.95,0.02,67.71,0.09,157937,-3154662,-2996725,63,22.87
145,NVDA260717C00145000,NVDA260717P00145000,5256,16510,4,38,2.1923873315429683,1.0468797656250002,60.9,0.01,63,0.02,62.96,0.02,694781,-2182426,-1487645,42,22.41
150,NVDA260717C00150000,NVDA260717P00150000,1534,35419,12,48,1.888672431640625,0.9531254687499999,55.85,0.01,57.2,0.02,57.59,0.02,201338,-4648748,-4447410,60,19.52
155,NVDA260717C00155000,NVDA260717P00155000,411,21709,10,891,1.8623053759765624,0.8906260937499999,50.75,0.01,53.2,0.03,52.91,0.01,67615,-3571398,-3503783,901,23.71
160,NVDA260717C00160000,NVDA260717P00160000,3238,23063,25,95,1.4560574072265624,0.8125018749999999,45.45,0.02,46.85,0.03,47.2,0.03,489158,-3484077,-2994919,120,17.94
165,NVDA260717C00165000,NVDA260717P00165000,2466,22300,52,1223,1.408206083984375,0.7500025,41.05,0.03,41.9,0.04,41.59,0.04,486434,-4398815,-3912381,1275,22.28
167.5,NVDA260717C00167500,NVDA260717P00167500,9,878,0,729,1.5649435815429684,0.7148466015625,38.15,0.03,41.75,0.05,42.88,0.05,2310,-225372,-223062,729,30.63
170,NVDA260717C00170000,NVDA260717P00170000,5913,29969,13,178,1.2587927685546876,0.6875031250000001,36.05,0.04,36.9,0.06,37.89,0.05,1409994,-7146307,-5736313,191,24.29
172.5,NVDA260717C00172500,NVDA260717P00172500,20,5595,0,84,1.2502478894042968,0.648441015625,33.6,0.05,34.9,0.06,38.2,0.07,5579,-1560717,-1555138,84,27.72
175,NVDA260717C00175000,NVDA260717P00175000,8689,37436,48,356,1.1225629809570314,0.6269568554687501,31.4,0.07,31.65,0.08,32.4,0.08,2615687,-11269519,-8653832,404,27.57
177.5,NVDA260717C00177500,NVDA260717P00177500,14,4335,0,304,1.0537156689453124,0.5898478515625001,27.85,0.08,30.25,0.09,33.16,0.09,4766,-1475783,-1471017,304,29.29
180,NVDA260717C00180000,NVDA260717P00180000,16104,78128,117,2422,0.946289599609375,0.5576216113281252,26.3,0.1,26.5,0.11,27.19,0.12,6078885,-29491502,-23412617,2539,29.71
182.5,NVDA260717C00182500,NVDA260717P00182500,60,3286,0,190,1.0542039477539062,0.5283250292968751,23.6,0.13,26.1,0.14,24.45,0.14,29776,-1630728,-1600952,190,41.11
185,NVDA260717C00185000,NVDA260717P00185000,9410,27932,127,1669,0.8249529223632811,0.49609878906250005,21.45,0.16,21.6,0.17,22.35,0.18,4957723,-14716167,-9758444,1796,36.43
187.5,NVDA260717C00187500,NVDA260717P00187500,2319,7006,163,1623,0.8034687622070311,0.46143116699218756,19.15,0.2,19.5,0.21,19.8,0.21,1504306,-4544704,-3040398,1786,42.95
190,NVDA260717C00190000,NVDA260717P00190000,25285,47050,4389,3721,0.7246121289062499,0.43555251953125,16.65,0.28,17,0.29,16.86,0.28,19859128,-36953608,-17094480,8110,47.69
192.5,NVDA260717C00192500,NVDA260717P00192500,3522,10801,288,2001,0.6367223828125,0.40772076660156253,14.15,0.38,14.4,0.4,14.5,0.39,3407082,-10448577,-7041495,2289,52.88
195,NVDA260717C00195000,NVDA260717P00195000,19861,33018,877,7434,0.5769085278320312,0.383795224609375,11.8,0.57,12.05,0.58,12,0.57,24319369,-40429833,-16110464,8311,61.57
197.5,NVDA260717C00197500,NVDA260717P00197500,4061,17845,2173,3678,0.5371140039062501,0.36035795898437495,9.7,0.83,9.85,0.85,10.17,0.83,6303514,-27699139,-21395625,5851,72.92
200,NVDA260717C00200000,NVDA260717P00200000,82991,47087,4215,12373,0.5029346582031251,0.3498600170898437,7.75,1.34,7.8,1.35,7.86,1.35,158632729,-90004209,68628520,16588,85.32
202.5,NVDA260717C00202500,NVDA260717P00202500,12529,8307,1479,4171,0.4831594653320313,0.33130551513671874,6,1.99,6.05,2,5.96,1.97,28061122,-18605136,9455986,5650,95.48
205,NVDA260717C00205000,NVDA260717P00205000,27075,22638,7011,9353,0.45117736328125,0.31958688232421867,4.35,2.95,4.4,2.98,4.5,2.95,67098404,-56102444,10995960,16364,99.98
207.5,NVDA260717C00207500,NVDA260717P00207500,27400,3866,5979,7211,0.4271297521972657,0.2990792749023437,3,4.1,3.05,4.2,3,4.2,68910325,-9722895,59187430,13190,95.6
210,NVDA260717C00210000,NVDA260717P00210000,90733,27499,35245,10298,0.41431249755859373,0.26758544921875,2.02,5.65,2.05,5.7,2.03,5.65,204326939,-61926603,142400336,45543,80.38
212.5,NVDA260717C00212500,NVDA260717P00212500,23839,1909,11250,564,0.4094297338867187,0.16797707031250003,1.33,7.2,1.35,7.4,1.36,7.17,39143608,-3134576,36009032,11814,49.63
215,NVDA260717C00215000,NVDA260717P00215000,93031,10654,15322,2432,0.41358008300781246,0.000010000000000000003,0.89,9.3,0.9,9.4,0.89,9.37,36924578,-4228638,32695940,17754,8.59
217.5,NVDA260717C00217500,NVDA260717P00217500,23115,291,6531,344,0.4057676611328125,0.000010000000000000003,0.51,11.5,0.53,11.75,0.51,11.45,1973707,-24847,1948860,6875,1.81
220,NVDA260717C00220000,NVDA260717P00220000,96222,13380,15766,825,0.4096738720703125,0.000010000000000000003,0.32,13.5,0.33,13.85,0.32,13.44,1517765,-211050,1306715,16591,0.34
222.5,NVDA260717C00222500,NVDA260717P00222500,8408,640,2552,59,0.42139250488281255,0.000010000000000000003,0.21,15.75,0.22,16.55,0.21,14.8,24706,-1881,22825,2611,0.06
225,NVDA260717C00225000,NVDA260717P00225000,51933,7510,5043,264,0.43457596679687505,0.000010000000000000003,0.13,18.55,0.15,18.7,0.15,18.15,27160,-3928,23232,5307,0.01
227.5,NVDA260717C00227500,NVDA260717P00227500,6947,1188,1594,21,0.445318046875,0.000010000000000000003,0.09,20.6,0.1,21.75,0.1,19.45,544,-93,451,1615,0
230,NVDA260717C00230000,NVDA260717P00230000,50911,1176,4748,81,0.4687553125,0.000010000000000000003,0.07,23.4,0.08,23.75,0.07,23.1,1070,-25,1045,4829,0
232.5,NVDA260717C00232500,NVDA260717P00232500,4086,1,420,176,0.48438015625,0.000010000000000000003,0.05,25.5,0.06,26.65,0.06,25.04,16,0,16,596,0
235,NVDA260717C00235000,NVDA260717P00235000,32430,49,1293,17,0.500005,0.000010000000000000003,0.04,28.35,0.05,28.7,0.04,28.05,24,0,24,1310,0
240,NVDA260717C00240000,NVDA260717P00240000,36231,31,2225,2,0.5312546875,0.000010000000000000003,0.02,33.05,0.03,34.2,0.03,33.05,1,0,1,2227,0
245,NVDA260717C00245000,NVDA260717P00245000,15213,123,2700,555,0.5625043750000001,0.000010000000000000003,0.01,38,0.02,39.15,0.01,39.75,0,0,0,3255,0
250,NVDA260717C00250000,NVDA260717P00250000,93730,16,976,5,0.6171913281250001,0.000010000000000000003,0.01,43,0.02,44.15,0.01,43.15,0,0,0,981,0
255,NVDA260717C00255000,NVDA260717P00255000,9313,0,252,15,0.6093789062500001,0.000010000000000000003,0,47.9,0.01,49.15,0.01,60.95,0,0,0,267,0
260,NVDA260717C00260000,NVDA260717P00260000,29679,0,25,2,0.6562534375000001,0.000010000000000000003,0,52.95,0.01,54,0.05,51.35,0,0,0,27,0
265,NVDA260717C00265000,NVDA260717P00265000,16712,26,31,114,0.70312796875,0.000010000000000000003,0,57.9,0.01,59.15,0.01,60.57,0,0,0,145,0
270,NVDA260717C00270000,NVDA260717P00270000,13485,0,8,2,0.7500025,0.000010000000000000003,0,62.95,0.01,64.15,0.01,71.7,0,0,0,10,0
275,NVDA260717C00275000,NVDA260717P00275000,7132,0,50,25,0.79687703125,0.000010000000000000003,0,67.95,0.01,69.15,0.01,65.75,0,0,0,75,0
280,NVDA260717C00280000,NVDA260717P00280000,11102,0,4,1,0.8437515624999999,0.000010000000000000003,0,73.05,0.01,74.7,0.01,78.97,0,0,0,5,0
