strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
274,3461,4560,16613,-45478,-28865,1720,14.53
279,5104,4616,30624,-44852,-14228,3355,20.3
284,5884,4033,42365,-38152,4213,3734,27.49
289,5657,5101,47519,-46946,573,3138,36.04
294,5231,6352,50218,-56829,-6611,2129,45.78
299,6977,6815,75352,-59222,16130,4503,56.33
304,7949,6497,95388,-54791,40597,5487,67.13
309,7897,6431,104240,-52584,51656,4516,77.48
314,7123,7951,102571,-62972,39599,2522,86.63
319,8822,8823,137623,-67614,70009,5374,93.82
324,9975,8860,167580,-65623,101957,7135,98.42
329,10110,8267,181980,-59109,122871,6169,100
334,8409,8443,141271,-62534,78737,3341,98.42
339,8606,8730,134254,-66901,67353,4849,93.82
344,8910,8226,128304,-65150,63154,6399,86.63
349,8221,6944,108517,-56779,51738,5347,77.48
354,6636,5986,79632,-50482,29150,2883,67.13
359,6335,6548,68418,-56902,11516,3252,56.33
364,6791,6454,65194,-57742,7452,4817,45.78
369,6299,5524,52912,-50839,2073,4323,36.04
374,4850,3974,34920,-37594,-2674,2270,27.49
379,4047,4205,24282,-40859,-16577,1843,20.3
384,4637,4476,22258,-44641,-22383,3189,14.53
