strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
283,4179,4805,20561,-47799,-27238,2385,15.04
288,5663,4864,34658,-47137,-12479,3882,20.96
293,6121,4256,44806,-40153,4653,3736,28.28
298,5594,5370,47661,-49284,-1623,2675,36.97
303,6070,6675,59000,-59548,-548,3023,46.81
308,7704,7158,84128,-62019,22109,5304,57.41
313,8371,6826,101457,-57391,44066,5638,68.19
318,8000,6757,106560,-55076,51484,4011,78.47
323,7947,8343,115390,-65862,49528,3377,87.45
328,9710,9252,152641,-70664,81977,6468,94.41
333,10583,9291,179064,-68577,110487,7506,98.72
338,10278,8573,183771,-61517,122254,5607,99.98
343,8632,8757,143982,-65085,78897,3070,98.09
348,9424,9057,145884,-69639,76245,5944,93.21
353,9421,8531,134532,-67784,66748,6822,85.79
358,8337,7194,109048,-59008,50040,4975,76.49
363,6464,6195,76792,-52404,24388,2210,66.05
368,7066,6781,75465,-59101,16364,4140,55.25
373,7252,6682,68749,-59953,8796,5266,44.77
378,6367,5712,52719,-52716,3,4106,35.13
383,4596,4095,32540,-38844,-6304,1785,26.71
388,4682,4336,27530,-42243,-14713,2466,19.66
393,5043,4619,23601,-46185,-22584,3590,14.02
