strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
579,3571,4736,16969,-47282,-30313,1722,14.32
584,5334,4795,31748,-46641,-14893,3455,20.05
589,6207,4186,44392,-39643,4749,3925,27.17
594,6009,5301,50187,-48841,1346,3364,35.68
599,5439,6606,51953,-59170,-7217,2126,45.38
604,7306,7089,78554,-61676,16878,4630,55.9
609,8378,6757,100134,-57053,43081,5751,66.7
614,8369,6688,110069,-54754,55315,4823,77.09
619,7571,8273,108659,-65607,43052,2766,86.3
624,9249,9183,143840,-70467,73373,5510,93.58
629,10510,9222,176064,-68399,107665,7457,98.29
634,10700,8603,192086,-61600,130486,6562,100
639,8972,8826,151160,-65281,85879,3656,98.54
644,9058,9126,141740,-69842,71898,4973,94.06
649,9419,8600,136086,-68024,68062,6694,86.96
654,8739,7263,115774,-59313,56461,5697,77.88
659,7096,6264,85493,-52762,32731,3144,67.55
664,6654,6850,72183,-59456,12727,3319,56.76
669,7171,6751,69186,-60330,8856,5024,46.19
674,6700,5782,56602,-53154,3448,4595,36.41
679,5206,4164,37733,-39349,-1616,2471,27.8
684,4234,4406,25607,-42766,-17159,1869,20.56
689,4886,4689,23687,-46717,-23030,3315,14.73
