strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
575,3073,4579,14898,-45621,-30723,1280,14.73
580,4772,4635,28861,-44989,-16128,2865,20.56
585,5925,4052,42944,-38290,4654,3779,27.8
590,6059,5120,51186,-47069,4117,3752,36.41
595,5377,6371,51877,-56934,-5057,2329,46.19
600,6592,6834,71510,-59317,12193,3755,56.76
605,7913,6515,95336,-54876,40460,5387,67.55
610,8242,6450,109190,-52673,56517,5180,77.88
615,7674,7970,110874,-63041,47833,3574,86.96
620,8390,8842,131287,-67668,63619,4350,94.06
625,9864,8879,166189,-65673,100516,6817,98.54
630,10349,8248,185785,-59058,126727,6800,100
635,8900,8424,149093,-62480,86613,4457,98.29
640,8097,8711,125925,-66845,59080,3754,93.58
645,8687,8207,124676,-65084,59592,5912,86.3
650,8392,6925,110372,-56695,53677,5738,77.09
655,7098,5967,84835,-50383,34452,3712,66.7
660,5799,6529,62351,-56804,5547,2379,55.9
665,6499,6435,62078,-57638,4440,4299,45.38
670,6397,5505,53428,-50721,2707,4514,35.68
675,5275,3955,37727,-37455,272,2848,27.17
680,3495,4186,20802,-40717,-19915,1244,20.05
685,4282,4457,20348,-44497,-24149,2721,14.32
