strike,call_symbol,put_symbol,call_oi,put_oi,call_volume,put_volume,call_iv,put_iv,call_bid,put_bid,call_ask,put_ask,call_last,put_last,call_gex,put_gex,total_gex,volume,probability
495,,QQQ260722P00495000,0,49,0,1,0,2.000005,0,0,0,0.01,0,0.01,0,-748,-748,1,1.6
500,,QQQ260722P00500000,0,4,0,1,0,1.9375003125,0,0,0,0.01,0,0.01,0,-59,-59,1,1.49
520,,QQQ260722P00520000,0,0,0,2,0,1.75000125,0,0,0,0.01,0,0.03,0,0,0,2,1.48
525,QQQ260722C00525000,,14,0,28,0,2.9687525781249997,0,182.69,0,185.8,0,182.47,0,2252,0,2252,28,25
530,,QQQ260722P00530000,0,17,0,11,0,1.625001875,0,0,0,0.01,0,0.01,0,-251,-251,11,1.25
535,,QQQ260722P00535000,0,176,0,175,0,1.5937520312499998,0,0,0,0.01,0,0.02,0,-2863,-2863,175,1.36
540,QQQ260722C00540000,,19,0,38,0,2.7602570056152342,0,167.53,0,171.1,0,155.6,0,3402,0,3402,38,25.87
545,,QQQ260722P00545000,0,1899,0,3,0,1.5000025,0,0,0,0.01,0,0.01,0,-32486,-32486,3,1.34
550,,QQQ260722P00550000,0,20,0,2,0,1.4375028125,0,0,0,0.01,0,0.01,0,-323,-323,2,1.22
560,,QQQ260722P00560000,0,20,0,20,0,1.3437532812499997,0,0,0,0.01,0,0.02,0,-339,-339,20,1.19
565,,QQQ260722P00565000,0,2171,0,10,0,1.3125034374999998,0,0,0,0.01,0,0.01,0,-41410,-41410,10,1.31
570,,QQQ260722P00570000,0,163,0,81,0,1.2500037499999999,0,0,0,0.01,0,0.02,0,-2905,-2905,81,1.17
575,,QQQ260722P00575000,0,4,0,2,0,1.1875040625,0,0,0,0.01,0,0.01,0,-66,-66,2,1.02
580,,QQQ260722P00580000,0,34,0,9,0,1.15625421875,0,0,0,0.01,0,0.01,0,-638,-638,9,1.14
585,,QQQ260722P00585000,0,128,0,118,0,1.125004375,0,0,0,0.01,0,0.03,0,-2756,-2756,118,1.27
590,,QQQ260722P00590000,0,73,0,62,0,1.0625046875000002,0,0,0,0.01,0,0.01,0,-1447,-1447,62,1.1
595,,QQQ260722P00595000,0,208,0,290,0,1.0312548437500002,0,0,0,0.01,0,0.02,0,-4783,-4783,290,1.24
600,,QQQ260722P00600000,0,523,0,567,0,0.9687503125,0,0,0,0.01,0,0.01,0,-10963,-10963,567,1.06
605,,QQQ260722P00605000,0,872,0,936,0,0.937500625,0,0,0,0.01,0,0.01,0,-21505,-21505,936,1.21
610,QQQ260722C00610000,QQQ260722P00610000,19,1203,4,3,1.673829755859375,0.87500125,97.62,0,101,0.01,96.71,0.01,3275,-207329,-204054,7,11.5
615,,QQQ260722P00615000,0,1378,0,242,0,0.8437515624999999,0,0,0,0.01,0,0.01,0,-36604,-36604,242,1.17
620,,QQQ260722P00620000,0,1552,0,106,0,0.7812521875,0,0,0,0.01,0,0.01,0,-36501,-36501,106,0.96
625,QQQ260722C00625000,QQQ260722P00625000,2,3322,2,2,1.3916046044921875,0.7500025,82.44,0,85.8,0.01,82.27,0.01,395,-656732,-656337,4,11.08
630,QQQ260722C00630000,QQQ260722P00630000,20,971,6,1,1.369143779296875,0.70312796875,78.98,0,79.61,0.01,76.3,0.01,4626,-224576,-219950,7,12.54
635,QQQ260722C00635000,QQQ260722P00635000,31,2639,1,635,1.3193393408203122,0.6562534375000001,74.1,0,74.69,0.01,71.8,0.01,8101,-689642,-681541,636,13.51
640,QQQ260722C00640000,QQQ260722P00640000,64,1173,4,773,1.2163125122070313,0.6250037500000001,68.92,0,69.65,0.01,67.37,0.01,17966,-329276,-311310,777,13.53
645,QQQ260722C00645000,QQQ260722P00645000,31,2386,30,326,1.171879140625,0.57812921875,64.07,0,64.76,0.01,56.29,0.01,10102,-777538,-767436,356,14.93
