strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
159,4474,4560,21475,-45478,-24003,2992,14.53
164,3767,4616,22602,-44852,-22250,1602,20.3
169,5097,4033,36698,-38152,-1454,2609,27.49
174,6381,5101,53600,-46946,6654,4306,36.04
179,6663,6352,63965,-56829,7136,4542,45.78
184,6066,6815,65513,-59222,6291,2853,56.33
189,6901,6497,82812,-54791,28021,3470,67.13
194,8341,6431,110101,-52584,57517,5412,77.48
199,8820,7951,127008,-62972,64036,6087,86.63
204,8355,8823,130338,-67614,62724,4306,93.82
209,8687,8860,145942,-65623,80319,4041,98.42
214,10264,8267,184752,-59109,125643,6551,100
219,9924,8443,166723,-62534,104189,6849,98.42
224,8592,8730,134035,-66901,67134,4816,93.82
229,7408,8226,106675,-65150,41525,3129,86.63
234,8084,6944,106709,-56779,49930,5062,77.48
239,7938,5986,95256,-50482,44774,5272,67.13
244,6774,6548,73159,-56902,16257,4037,56.33
249,5105,6454,49008,-57742,-8734,1956,45.78
254,5874,5524,49342,-50839,-1497,3609,36.04
259,5914,3974,42581,-37594,4987,3757,27.49
264,4931,4205,29586,-40859,-11273,2971,20.3
269,3179,4476,15259,-44641,-29382,1392,14.53
