strike,call_oi,put_oi,call_gex,put_gex,total_gex,volume,probability
163,4127,4942,19711,-49314,-29603,2213,14.42
168,4628,5003,27657,-48638,-20981,2284,20.17
173,6350,4370,45568,-41363,4205,3826,27.33
178,7052,5530,59068,-50923,8145,4667,35.86
183,6661,6889,63786,-61669,2117,3683,45.58
188,6605,7392,71175,-64274,6901,2902,56.11
193,8463,7046,101353,-59457,41896,5290,66.91
198,9382,6974,123617,-57060,66557,6177,77.29
203,9174,8625,131885,-68354,63531,5294,86.47
208,8573,9573,133533,-73410,60123,3203,93.7
213,10541,9613,176836,-71250,105586,6482,98.35
218,11671,8968,209798,-64167,145631,7843,100
223,10551,9180,177510,-67946,109564,6320,98.48
228,8577,9493,134007,-72699,61308,3155,93.94
233,9212,8945,132874,-70798,62076,5428,86.8
238,9408,7552,124411,-61711,62700,6410,77.68
243,8475,6512,101903,-54884,47019,5095,67.34
248,6609,7123,71536,-61862,9674,2821,56.54
253,6700,7020,64481,-62770,1711,3752,45.99
258,7080,6010,59642,-55281,4361,4863,36.23
263,6364,4326,45974,-40902,5072,3806,27.65
268,4633,4577,27909,-44450,-16541,2168,20.43
273,4167,4872,20102,-48565,-28463,2221,14.63
